Year,Abschlussart nach Nationalität,Value
2017,Ausländer - mit anerkanntem Berufsabschluss,4169
2017,Ausländer - mit akademischem Abschluss,1998
2017,Ausländer - gesamt mit und ohne Abschluss,10963
2017,Alle - ohne berufl. Ausbildungsabschluss,7601
2017,Alle - mit anerkanntem Berufsabschluss,33249
2017,Alle - mit akademischem Abschluss,14200
2017,Alle - gesamt mit und ohne Abschluss,60422
2018,Deutsche - ohne berufl. Ausbildungsabschluss,5109
2018,Deutsche - mit anerkanntem Berufsabschluss,29193
2018,Deutsche - mit akademischem Abschluss,12647
2018,Deutsche - gesamt mit und ohne Abschluss,49906
2018,Ausländer - ohne berufl. Ausbildungsabschluss,2756
2018,Ausländer - mit anerkanntem Berufsabschluss,4536
2018,Ausländer - mit akademischem Abschluss,2272
2018,Ausländer - gesamt mit und ohne Abschluss,11843
2018,Alle - ohne berufl. Ausbildungsabschluss,7867
2018,Alle - mit anerkanntem Berufsabschluss,33738
2018,Alle - mit akademischem Abschluss,14921
2018,Alle - gesamt mit und ohne Abschluss,61771
2019,Deutsche - ohne berufl. Ausbildungsabschluss,5098
2019,Deutsche - mit anerkanntem Berufsabschluss,29100
2019,Deutsche - mit akademischem Abschluss,13039
2019,Deutsche - gesamt mit und ohne Abschluss,50030
2019,Ausländer - ohne berufl. Ausbildungsabschluss,2894
2019,Ausländer - mit anerkanntem Berufsabschluss,4867
2019,Ausländer - mit akademischem Abschluss,2731
2019,Ausländer - gesamt mit und ohne Abschluss,12925
2019,Alle - ohne berufl. Ausbildungsabschluss,7994
2019,Alle - mit anerkanntem Berufsabschluss,33978
2019,Alle - mit akademischem Abschluss,15773
2019,Alle - gesamt mit und ohne Abschluss,62977
2020,Deutsche - ohne berufl. Ausbildungsabschluss,4977
2020,Deutsche - mit anerkanntem Berufsabschluss,28461
2020,Deutsche - mit akademischem Abschluss,13179
2020,Deutsche - gesamt mit und ohne Abschluss,49237
2020,Ausländer - ohne berufl. Ausbildungsabschluss,2976
2020,Ausländer - mit anerkanntem Berufsabschluss,5034
2020,Ausländer - mit akademischem Abschluss,2924
2020,Ausländer - gesamt mit und ohne Abschluss,13335
2020,Alle - ohne berufl. Ausbildungsabschluss,7954
2020,Alle - mit anerkanntem Berufsabschluss,33503
2020,Alle - mit akademischem Abschluss,16105
2020,Alle - gesamt mit und ohne Abschluss,62585
2021,Deutsche - ohne berufl. Ausbildungsabschluss,4852
2021,Deutsche - mit anerkanntem Berufsabschluss,28153
2021,Deutsche - mit akademischem Abschluss,13422
2021,Deutsche - gesamt mit und ohne Abschluss,48924
2021,Ausländer - ohne berufl. Ausbildungsabschluss,3139
2021,Ausländer - mit anerkanntem Berufsabschluss,5341
2021,Ausländer - mit akademischem Abschluss,3196
2021,Ausländer - gesamt mit und ohne Abschluss,14066
2021,Alle - ohne berufl. Ausbildungsabschluss,7991
2021,Alle - mit anerkanntem Berufsabschluss,33494
2021,Alle - mit akademischem Abschluss,16618
2021,Alle - gesamt mit und ohne Abschluss,62991
2022,Deutsche - ohne berufl. Ausbildungsabschluss,4858
2022,Deutsche - mit anerkanntem Berufsabschluss,28030
2022,Deutsche - mit akademischem Abschluss,13460
2022,Deutsche - gesamt mit und ohne Abschluss,48696
2022,Ausländer - ohne berufl. Ausbildungsabschluss,3417
2022,Ausländer - mit anerkanntem Berufsabschluss,5563
2022,Ausländer - mit akademischem Abschluss,3708
2022,Ausländer - gesamt mit und ohne Abschluss,15388
2022,Alle - ohne berufl. Ausbildungsabschluss,8275
2022,Alle - mit anerkanntem Berufsabschluss,33593
2022,Alle - mit akademischem Abschluss,17168
2022,Alle - gesamt mit und ohne Abschluss,64085
2023,Deutsche - ohne berufl. Ausbildungsabschluss,4889
2023,Deutsche - mit anerkanntem Berufsabschluss,27599
2023,Deutsche - mit akademischem Abschluss,13433
2023,Deutsche - gesamt mit und ohne Abschluss,48154
2023,Ausländer - ohne berufl. Ausbildungsabschluss,3823
2023,Ausländer - mit anerkanntem Berufsabschluss,5863
2023,Ausländer - mit akademischem Abschluss,4449
2023,Ausländer - gesamt mit und ohne Abschluss,17129
2023,Alle - ohne berufl. Ausbildungsabschluss,8712
2023,Alle - mit anerkanntem Berufsabschluss,33462
2023,Alle - mit akademischem Abschluss,17882
2023,Alle - gesamt mit und ohne Abschluss,65283
